Pharmacy Name,النوع,Location,Detailed_Location ,Phone
صقر,الصيدليات,المتن,البوشرية-العسيلي-سد البوشرية-وردة زيتون ملك وكيم عقار 475,01/891922
صلابا,الصيدليات,المتن,البوشرية-نيو حنكش-هاكوب طاشجيان عقار 3118/15,01/253823
صلاح الدين,الصيدليات,زحلة,عنجر-الطريق العا كوسيكيان عقار 1922,08/621920
صليبا,الصيدليات,المتن,بتغرين-الشارع العام-الشعار ملك جاكلين وهدى صليبا عقار 132,04/271598
صهيون,الصيدليات,المتن,الزلقا-عمارة شلهوب بناية الزغبي عقار 298,01/893376
"صيدلية ""المخلص-DEL SALVATORE """,الصيدليات,الكورة,راسمسقا حي السامرية الشارع العام ملك تانيا بطرس الخوري القسم 5 من العقار 1657,06/415372
صيدلية ?نا ريتا PARMACIE ANNA-RITA,الصيدليات,المتن,الفنار -عقاررقم 789 القسم 6 ملك صلاح أبي عبدالله,01/873563
صيدلية ?ينيسيا Venicia pharm,الصيدليات,عاليه,منطقة القبة العقارية عقار رقم 2904 ملك مصطفى خلف نصره,05/808978
صيدلية ABC,الصيدليات,المتن,"ضبية-ملك رينيه باباس عقار 433 قسم 5 ,6 ملك كورين متى وكريتا جرجي",NA
صيدلية AVE MARIA,الصيدليات,بعبدا,طريق عام بعبدا عقار رقم 45 المرداشة قسم 6 -ملك زبيدة داغر,NA
صيدلية FARMEDICA,الصيدليات,كسروان,غزير حي كفرحباب الشارع العام ملك الاميرة بديعة شكيب شهاب عقار 114/غزير,09/854554
صيدلية GET WELL PHARM,الصيدليات,المتن,الدكوانة رقم العقار 1854 قسم 7 شارع الميدان ملك اياد ورياض مقبل ورامي و ريما مصباح فتوح,01/683977
صيدلية H & A Pharm,الصيدليات,بعبدا,القلعة حي القلعة الشارع العام عقار 894 ملك نزيه المصري,05/531599
صيدلية PHAR ST ANTOINE,الصيدليات,المتن,الدكوانه مركز سنتر حبيب عقار 1520 قسم 14 ملك شركة غويات ش م ل.,01/490650
صيدلية Pharma K,الصيدليات,عاليه,القبة حي دوحة الشويفات الشارع العام رقم العقار 1809 قسم 8 ملكه,71/281313-05/813863
صيدلية Pharma STORE,الصيدليات,المتن,المطيلب الشارع العام سنتر palmplaza ملك ماري فخري كفوري و جورج و اميل ايليا كفوري عقار رقم 8 القسم 16 C,04/921991
صيدلية Pharma Todo,الصيدليات,زحلة,برالياس حي المكاوي الطريق العام عقار رقم 2316 ملك محمد زين العابدين حمد,08/512235
صيدلية PHARMACORP,الصيدليات,كسروان,منطقة صفرا العقارية -عقار 218-ملك ديلوردا النار وبهيج عساكر,NA
صيدلية PHARMALAK,الصيدليات,بعبدا,منطقة الحدث العقارية عقار رقم 4554 القسم A5 -البلوك J -ملك دير مار أنطونيوس التابع للرهبانية الأنطونية المارونية,05/471331
صيدلية PHARMALUNE,الصيدليات,زحلة,حزرتا حي مفرق حزرتا -الشارع العام -عقار 342-ملك حسن ابوحمدان,08/802619
صيدلية RABEL,الصيدليات,بعبدا,الحازمية حي مار تقلا شارع السفارة الليبية عقار 2848 القسم 7 ملك نازلي مازاكيان ارملة المرحوم قره كين ياردميان,05/459996
صيدلية SMART PHARMACY,الصيدليات,بعبدا,الحدث عقار 1482 حي السان تريز شارع الحدث (صفير) ملك توفيق مصطفى زعرور,05/466955-05/464659
صيدلية VIA PHARMA,الصيدليات,كسروان,الصفرا الشارع العام- B30- B29 من العقار 622 من منطقة الصفرا العقارية ملك جواد سليم الهاشم,09/852652
صيدلية W.A.T,الصيدليات,عاليه,عرمون-قرب سيار الدرك -الشارع العام -عقار رقم 4026 (4) ملك فادي خليل المهتار,05/807785
صيدلية آسيا- phar. Assia,الصيدليات,بعبدا,الشياح حي بئر حسن شارع مستديرة السفارة الكويتية عقار 4483 - ِA 5 ملك نضال حسن شامي,01/825765
صيدلية آنجيلا,الصيدليات,عاليه,الشبانية حي عين بعنان الشارع العام عقار رقم 737 ملك فؤاد خطار زيد,05/371372
صيدلية أبو جخ,الصيدليات,البقاع الغربي,غزه حي الفرس الطريق العام عقار رقم 806 ملك خليل المجزوب,08/641123
صيدلية أتش أر H R Pharmacy,الصيدليات,عاليه,منطقة بشامون العقارية رقم العقار 562 القسم 9 ملك اديب عارف مسعود,05/272486
صيدلية أحلام,الصيدليات,راشيا,المحيدثة -حي السمكة -الطريق العام -عقار 2253 ملك دريد الشوفي,NA
صيدلية أحمد حسين,الصيدليات,زحلة,مجدل العنجر الطريق العام عقار رقم 43 ملك محمد حسين امامه,NA
صيدلية أحمد يزبك,الصيدليات,بعلبك,حوش الرافقة عقار 521 ملك عباس علي يزبك,70/965775
صيدلية أمل Pharmacie AMAL,الصيدليات,جبيل,حالات -مجمع حالات سور مير السياحي -عقار رقم 830-رقم المحل 235و236 ملك هتلر زخيا باسيل,03/836063 09/478983
صيدلية أمير,الصيدليات,زحلة,بر الياس شارع الكورنيش عقار رقم 1533 ملك عبد الرحمن محمد ماضي,08/514543
صيدلية أنس,الصيدليات,زحلة,منطقة بر الياس العقارية -عقار رقم 2083 ملك خالد سليم عراجي,08/514240
صيدلية أوريا Orea,الصيدليات,المتن,قرنة شهوان عقار رقم 1984 القسم 5 ملك طوني يوسف الحداد,04/922070
صيدلية أيوب,الصيدليات,بعبدا,حارة حريك- ملك علي احمد أيوب عقار 2271 قسم 5 بلوك A,01/556656
صيدلية إبن الرشد PHARMACY EBN AL ROCHED,الصيدليات,بعلبك,سرعين العقارية -حي السلطانة -الطريق العام -عقار رقم 2672 -ملك هشام عبدالله,NA
صيدلية إده PHARMACIE EDDE,الصيدليات,جبيل,اده /جبيل عقار 533 ثلاث واجهات من الجهة الشرقية -ملك جوزف وجورج اده,09/542230
صيدلية إن فيفو PHARM IN VIVO,الصيدليات,عاليه,المنطقة العقارية عاليه عقار رقم 6631 القسم 9 بملكه,NA
صيدلية إيف Pharmacy Yves,الصيدليات,كسروان,عشقوت حي المكيلس-الشارع العام -عقار 1432 القسم 6 -ملك تريز عقيقي وحنا هاشم,NA
صيدلية إيليت Elite Pharmacy,الصيدليات,المتن,جل الديب -حي الجودة -الشارع العالي-عقار 1008/قسم 6 -ملك روني أبو جودة,04/724177
صيدلية ابراهيم شماس Pharmacie Ibrahim Chammas,الصيدليات,المتن,منطقة الدكوانة العقارية -عقار رقم 1109 القسم 6-بملكه,01/488116
صيدلية ابوجودهPHARMACIE ABOU JAOUDE,الصيدليات,المتن,جل الديب -حي اسعد راشد -الشارع العام عقار رقم 79 قسم 2 ملك نزيه فريد ابو جوده,04/715191-04/712521
صيدلية ابوحبيب Pharmacie Abou Habib,الصيدليات,المتن,انطلياس -شارع بيروت -طرابلس -عقار رقم 211 -القسم رقم VII -ملك ادوار فيليب طعمه,70/523336
صيدلية احمد Pharmacie Ahmad,الصيدليات,عاليه,منطقة عرمون العقارية -عقار رقم 3201 القسم رقم 8 B ملك زهير حسين عبد القادر,71/645939
صيدلية اسراء,الصيدليات,البقاع الغربي,جب جنين الطريق العام رأس فيلول عقار رقم 905 -ملك صالح أحمد شمس الدين,08/663030
صيدلية اطباء-2-,الصيدليات,بعلبك,بعلبك -حي المنطرة -تل الابيض -طريق حمص الدولي -عقار رقم 1340 -ملك طلال حسين بوسلمان,03/834284
صيدلية الأماني,الصيدليات,البقاع الغربي,القرعون -حي القرية -الشارع الداخلي العام -عقار 2397 القرعون ملك محمد عميص,08/630938
صيدلية الأميوني,الصيدليات,زغرتا,مجدليا حي طواحين السكر الشارع العام عقار 2597 ملك سمعان وديع كعدو,06/668878
صيدلية الأنوار PHARMACY ALANWAR,الصيدليات,عاليه,منطقة العمروسية العقارية -عقار 1035 القسم 4 -بلوك B -ملك مصطفى عليق وفاطمه مرعي,NA
صيدلية الاء ALAA PHARMACY,الصيدليات,بعلبك,بعلبك -حي السيدة خوله عليها السلام -شارع السيده خوله عليها السلام -عقار 2122-ملك عبدالله زين مرتضى,71/306460
صيدلية الاثير,الصيدليات,البقاع الغربي,القرعون الطريق العام عقار 10009 ملك عمر احمد عميص,08/630477
صيدلية الاحمد,الصيدليات,الشوف,داريا شحيم حي مرج علي الشارع العام ملك جهاد محمد علي حسن عقار 208 العقارية,07/242690
صيدلية الاخلاص,الصيدليات,المنية الضنية,منطقة عاصور العقارية -عقار 780 المقسم رقم 7 ملك خضر وعبد الرزاق سعود بوكنج,06/490911
صيدلية الاسرة AL-Osra Pharmacy,الصيدليات,بيروت,بيروت-عقار رقم 2637 /المزرعة -ملك الجمال وشركائهم,01/847846
صيدلية الاشهب ِAl Achhab Pharmacy,الصيدليات,زحلة,ماسا -طريق ماسا -الشارع العام -عقار رقم 134 منطقة ماسا العقارية - ملك حسين حسن طليس,03/674919
صيدلية الاكسير,الصيدليات,المتن,المجذوب الشارع العام ملك روجيه سمير صليبا عقار رقم 400,04/712996
صيدلية الامانة ALAMANA PHARMACY,الصيدليات,الشوف,داريا -حي مفرق النهر -الشارع العام -عقار رقم 1342 ملك عبد الحكيم بصبوص,07/243837
صيدلية الامل الطبية,الصيدليات,بعلبك,منطقة شعت العقارية -عقار 1396-القسم 1-ملك عبدالامير الحاج حسن,NA
صيدلية الامين,الصيدليات,بعلبك,بعلبك -حي الواد -الشارع الارز -عقار رقم 1305 ملك جهاد زعيتر,NA
صيدلية الامين,الصيدليات,عاليه,عبيه الشارع العام عقار 1763 ملك عادل يوسف اللحام,05/210790
صيدلية البتول AL -BATOUL PHARMACIE,الصيدليات,بعبدا,برج البراجنة العقارية -عقار رقم 1537 القسم 5 بلوك B -ملك حسن توفيق سلمان بشير,NA
صيدلية البقاع الغربي-سحمر,الصيدليات,البقاع الغربي,سحمر حي الساحة ملك عباس عباس عقار 394,08/635554
صيدلية البلسم AL BALSAM,الصيدليات,بعبدا,الشياح حي الامركان عقار 5487/الشياح ملك رئيسة حجازي,01/271990
صيدلية البيرPHARMACIE ALBERT,الصيدليات,المتن,بياقوت -حي بياقوت -شارع نهر الموت -عقار رقم 366 قسم 10بلوك A -ملك جان ميساك البر مومجيان وشوغيك بانوس كردانيان,01/871007
صيدلية التضامن,الصيدليات,بعلبك,يونين حي مفرق شعت طريق عام بعلبك حمص عقار رقم 1834 ملك محمد خليل الحاج حسن,08/305359
صيدلية الثقة TRUST PHARMACY,الصيدليات,الشوف,الدامور -حي جسر الدامور -عقار 1071 الدامور العقارية -القسم الشمالي من العقار ملك د.الياس رزق و زوجته,05/603530
صيدلية الجسر الجديد Pharmacy AL JESSER,الصيدليات,بعلبك,حورتعلا -حي الشميس -الشارع العام عقار رقم 213 ملك علي المصري,NA
صيدلية الجمال,الصيدليات,بيروت,شارع كورنش المزرعه -منطقة المزرعة العقارية عقار 421 القسمين 4و5 الطابق الارضي شرقي ملك حسان الجمال,NA
صيدلية الجمال PHARMACY AL -JAMAL,الصيدليات,الشوف,جدرا --حي الروضة -طريق عام جدرا -برجا عقار رقم 987 ملك فارس محمد احمد,07/972410
صيدلية الحاج برجا AL-HAJJ PHARMACY BARJA,الصيدليات,الشوف,برجا -حي الكروم -الطريق العام -عقار رقم 3625 -ملك مصطفى شعبان,07/920331
صيدلية الحسام,الصيدليات,المنية الضنية,منطقة زوق بحنين العقارية -المخزن الاول من الجهة الغربية من البناء القائم عقار 387 ملك محمد وطاهر وهويدا ورنه وطلال ورانيه وسونيا الغمراوي,06/463969
صيدلية الحكمة HEKMA-PHARMACY,الصيدليات,الشوف,السمقاتية -الشارع العام عقار رقم 348القسم 7 بلوك A ملك هيثم حمزة,05/502406
صيدلية الحكمة النبي شيت pharmacie el hekma nabi chit,الصيدليات,بعلبك,منطقة النبي شيت العقارية عقار رقم 2618 ملك أوقاف الطائفة الاسلامية الشيعية,76/763337-08/336001
صيدلية الحكمة-بيروت,الصيدليات,بيروت,بيروت-بيهم-زقاق البلاط ملك مصطفى الهدهد رقم العقار 868,01/845877-01/377275
صيدلية الحكمه بعلبك,الصيدليات,بعلبك,مقنة-الطريق العام -شارع بعلبك حمص الدولية -عقار رقم 828 ملك محسن محمد المقداد,08/305902
صيدلية الحكيم الطبية -PHARMACY ALHAKIM MEDICAL,الصيدليات,راشيا,ضهر الاحمر -عقار 1394-الشارع العام-مخزنين من الجهة الشرقية -ملك محمود ابو رافع,NA
صيدلية الحمرا,الصيدليات,بيروت,رأس بيروت-بناية بافيون -عقار 776 رأس بيروت -المأجور رقم 4 ملك شركة الحمرا للسياحه والبناء ش.م.ل,NA
صيدلية الحواط AL HAWAT PHARMACY,الصيدليات,المنية الضنية,ديرعمار -الشارع العام -عقار 820-ثلاث مخازن في الوسط -ملك خليل الجندي,06/462965
صيدلية الخطيب,الصيدليات,بعلبك,تبنين التحتا حي الشرقي الشارع العام عقار 703 ملك محمد محمود عرار,08/900108
صيدلية الخلاص PHARMACIE LA DELIVRANCE,الصيدليات,كسروان,منطقة عجلتون العقارية -عقار رقم 2167-القسم 4 بملكها,09/238208
صيدلية الخنسا EL-Khansa Pharmacy,الصيدليات,بعبدا,الشياح - الشارع قرب البلدية عقار رقم 4662 بلوك B الفسم 8 -ملك غاده محمد شفيق نور الدين ومحمد صبحي الخنسا,03/832042
صيدلية الدسوقي Dasuki Pharmacy,الصيدليات,البقاع الغربي,جب جنين -الشارع العام -عقار رقم 767 ملك منير كمال شرانق,NA
صيدلية الرابيه,الصيدليات,المتن,المطيلب الشارع العام عقار رقم 10/902 المطيلب ملك جميلة حنا عازار,04/408308
صيدلية الربيع pharmacie AL,الصيدليات,الكورة,راسمسقا حي ضهر العين الشارع العام عقار رقم 333 قسم 8 بلوك 1 A ملكه,06/417255
صيدلية الرحاب AL-RIHAB PHARMACY,الصيدليات,بعبدا,حي الرحاب عقار 12/6779 ملك عبد الوهاب شقير وشركاه,01/850021
صيدلية الرحمن,الصيدليات,زحلة,سعدنايل -حي البحيص عقار 2699 ملك سمير رحيمي,08/508538
صيدلية الرفاه RAFAH PHARMACY,الصيدليات,عاليه,بشامون -حي المدارس -عقار رقم 3029 A7 ملك وليد ابراهيم ديب,05/802597
صيدلية الروضه -Pharmacie al rawdah,الصيدليات,بعبدا,الغبيري-عبدالكريم الخليل-روضة الشهيدين-عقيل عقار6401/القسم 8 بلوك A بملكه,01/541325
صيدلية الريس,الصيدليات,المتن,منطقة عين الخروبة العقارية -عقار رقم 692 -المحلات رقم 3و4و5-ملك يوسف اسعد الريس وحنان فارس الريس,04/980700
صيدلية الريم,الصيدليات,المنية الضنية,بخعون اوتوستراد كفون الشارع العام عقار رقم 641 ملك احمد محمد شاكر,06/241244
صيدلية الزهار ALZAHAR PHARMACY,الصيدليات,عاليه,منطقة عاليه العقارية -عقار رقم 484-ملك ايليا وجرجي وبشارة ونقولا وجوزف مخايل فاخوري,05/557687
صيدلية الزوق,الصيدليات,كسروان,زوق مكايل -عقار 1379,NA
صيدلية الساحة,الصيدليات,بعبدا,برج البراجنة عقار رقم 2872- A5-6A حي مطعم الساحة شارع الساحة ملك هشام عبد الأمير سبيتي,01/453854
صيدلية السراي Serail pharmacy,الصيدليات,الكورة,اميون -عقار 61 من منطقة عرمون العقارية -ملك جورج الحاج فيصل وجرجي الحاج فيصل ونهى سعاده,NA
صيدلية السردوك,الصيدليات,بيروت,بيروت حي المزرعة شارع لبس رقم العقار 6/5158 المزرعة ملك منى شفيق محمصاني,01/308878
صيدلية السرور AL SOUROUR PHARMACY,الصيدليات,بعبدا,منطقة الشياح العقارية -عقار رقم 6940 -بلوك B-القسم 6-بملكها,NA
صيدلية السمير,الصيدليات,الشوف,بعقلين الشارع العام عقار رقم 143/بعقلين ملك مروان فريد بو عجرم,03/075280
صيدلية السهول,الصيدليات,البقاع الغربي,الخيارة عقار 85 محلان رقم 2 و 3 من جهة مركز عمر المختار التربوي ملك منير علي صالح,08/641413
صيدلية السوسن ALSAWSAN PHARMACY,الصيدليات,الشوف,سبلين -الشوف- شارع سبلين -وادي الزينه عقار 237 من منطقة سبلين العقارية القسم 4ملك خضر محمد سليمان,70/499668
صيدلية السي Pharmacie Elsy,الصيدليات,بعبدا,منطقة بعبدا العقارية -عقار رقم 986-ملك شركة سكوادرا سبورتيفا ش.م.ل,05/955825
صيدلية السيدة - عاريا,الصيدليات,بعبدا,عاريا 851 القسم 4 منطقة عاريا العقارية -بملكها,05/769187
صيدلية الشانفيل,الصيدليات,المتن,مزرعة الحضيرة - عقار 181 قسم 8 بملكه,04/924050
صيدلية الشحار,الصيدليات,عاليه,رمحالا حي قبرشمون شارع الساحة عقار 2/2650 ملك الدكتور حسام فارس غصن,05/410370
صيدلية الشعار,الصيدليات,الشوف,الناعمة طريق صيدا القديمة عقار رقم 57 ملك جوزاف جورج الهاشم,05/601730
صيدلية الشفاء,الصيدليات,المنية الضنية,المنيه الشارع العام عقار رقم 2592 ملك حسن الصديق,06/464565
صيدلية الشفاء- رياق,الصيدليات,زحلة,حوش حالا الطريق العام عقار رقم 1269 ملك علي أسعد نكد,NA
صيدلية الشفاء-مشغره,الصيدليات,البقاع الغربي,مشغره -شارع الكروم -المحل في جهة الوسط من البناء القائم على العقار 3901 ملك فاطمه حمود وعلي ومحمد ودنيا ويارا وعيسى محيدلي,08/651570
صيدلية الشمعة,الصيدليات,الشوف,برجا حي الخزان مزراب داوود شارع الخزان رقم العقار 1493 ملك مالك سعد الدين الجنون,07/921673
صيدلية الشياح,الصيدليات,بعبدا,الشياح طريق صيدا القديم عقار 637 ملك ايفون يوسف فضول عقار 637,NA
صيدلية الشيخ,الصيدليات,الكورة,بتوراتيج-حقل السين ملك منى يعقوب يوسف عقار 1170,06/417937
صيدلية الصباغ,الصيدليات,بعبدا,حارة حريك شارع هادي نصرالله ملك يوسف عبد الجليل ابو رضا عقار 2493 القسم 8,01/274959
صيدلية الصحة,الصيدليات,المتن,بعبدات -الطريق العام -شارع عين لويس -عقار 1045 القسمين 6و7 ماك امين ومرسال بونصار,NA
صيدلية الصحة الطبية MEDICAL HEALTH PHARMA,الصيدليات,بعلبك,بعلبك -حي الواد -شارع كميل شمعون عقار 1962 ملك علي مظلوم,08/378770
صيدلية الصحة-Pharma Sante,الصيدليات,كسروان,أدما و دفنة عقار رقم 1344 الشارع العام ملك ندى و ماريا عوكر القسم 7 و 8 - بلوك A,09/852062
صيدلية الصحراء,الصيدليات,عاليه,الشويفات حي العمروسية شارع حي زعيتر عقار رقم 26/2369 ملك علي محمد الفقيه,05/435709
صيدلية الصفا,الصيدليات,المنية الضنية,المنية حي البلاط- شارع البلاط الضيعة -عقار 1230 المنية ملك محمد هاشم علم الدين وعمر مصطفى علم الدين,06/463370
صيدلية الطوار?,الصيدليات,بيروت,حي الطريق الجديدة-شارع محمد علي بيهم -عقار رقم 9/1955المزرعة ملك رشيد حرب ورشا قاسم حرب,01/300981
صيدلية العائلة FAMILY PHARMACY,الصيدليات,زغرتا,مجدليا -حي ضهر الواوية -طريق الكرملية -عقار رقم 2314 مقسم رقم5-ملك حنا رومانوس حنا,06/668689
صيدلية العاشق,الصيدليات,بعلبك,النبي عثمان حي الدورة الطريق العام ملك حسن عباس نزها عقار 882,08/234636
صيدلية العاقل AL AKEL PHARMACY,الصيدليات,عاليه,منطقة الأمراء العقارية -المحلين التجاريين على العقار 1490 -ملك وليد صعب,05/441871
صيدلية العامرية AL-AAMIRIYA PHARMACY,الصيدليات,المتن,منطقة ساقية المسك وبحرصاف العقارية -عقار 2043 -ملك الياس ولطف الله عواد وعزيزي الحاج,03/606262
صيدلية العبدوني AL-ABDOUNI PHARMACY,الصيدليات,البقاع الغربي,منطقة حمارة العقارية -عقار 1987 ملك احمد ايوب,NA
صيدلية العطشانة Pharmacie Atchaneh,الصيدليات,المتن,العطشانة -شارع الشيخ يوسف جبور- عقار رقم 4/486 -ملك انطوان يوسف جبور,04/980361
صيدلية العناية Pharmacare,الصيدليات,المنية الضنية,منطقة المنية العقارية عقار 950 -مخزنين من الجهة الشمالية -ملك عامر علم الدين,06/462170
صيدلية العياش Al ayash Phar,الصيدليات,عاليه,عيناب الجهة الشرقية من العقار رقم 1250 عيناب ملك نبيل عارف الحلبي,05/412112
صيدلية العين,الصيدليات,بعلبك,العين الطريق العام عقار رقم 854 ملك جمال دياب الجمال,70/952036
صيدلية الغدير الطبية,الصيدليات,بعلبك,بعلبك-طريق عام تل الابيض-عقار 1344 من منطقة بعلبك العقارية -ملك محمد جعفر,70/650808
صيدلية الفا,الصيدليات,الكورة,بتوراتيج -الطريق العام -المقسم رقم 12 في العقار رقم 1123 من منطقة بتوراتيج العقارية -ملك ايلي ابراهيم دابله,06/416493
صيدلية الفائزون AL FAIZOUN PHARMACY,الصيدليات,الشوف,منطقة الجية العقارية -قرب مركز بلدية الجية -عقار رقم 1485 -ملك سامي الياس اسطفان,NA
صيدلية الفراشة,الصيدليات,عاليه,القبة حي القبة قرب مسجد كريديه عقار رقم 6/2000 ملك فاديه عصام شميطلي,05/811910
صيدلية الفرح,الصيدليات,بعلبك,بعلبك شارع القلعة مدخل بعلبك الجنوبي عقار رقم 2729 ملك محمد احمد عواضة,70/823532
صيدلية الفرزل,الصيدليات,زحلة,الفرزل الشارع العام عقار 1118 الفرزل ملك جميل حنا اسطفان,08/951350
صيدلية القائم الحديثة AL QAEM AL HADETHA PHARMACY,الصيدليات,بعلبك,العين-حي الحارة الشمالية -عقار 1009-الباب الجنوبي -ملك قاسم ناصر الدين,NA
صيدلية القدوسي,الصيدليات,المنية الضنية,البداوي الطريق العام عقار 1962/البداوي القسم 4 ملك أمين عبد الكريم الريناوي,06/386866
صيدلية القديسة ريتا-Pharmacie Sainte Rita,الصيدليات,جبيل,جبيل -حي جسر جاج -الشارع العام -الاوتستراد -عقار رقم B/4/1848 ملك اميل نوفل,09/544885
صيدلية القلب الاقدسي Pharmacie Sacre'-Coeur,الصيدليات,المتن,البوشريه -حي المدور -شارع البوشرية -عقار رقم 8/295 -ملك منصور,01/888443
صيدلية الكسندر Pharmacie Alexandre,الصيدليات,المتن,بيت مري -الطريق العام -عقار رقم 5191 بيت مري القسم 10 ملك روني روجيه الفغالي,04/534841
صيدلية الكمال,الصيدليات,عاليه,رمحالا حي قبرشمون طريق البنيه العام ملك شوقي انيس رافع عقار 2665,05/410011
صيدلية الكندي,الصيدليات,بعلبك,بعلبك حي راس العين - شارع راس العين عقار 5606 ملك علي مصطفى الجوهري,03/714565-08/373032
صيدلية اللوتس الأخضر,الصيدليات,جبيل,منطقة حالات العقارية -عقار 3759 ملك يوسف وطانيوس وفادي وطعمه القزح,03/673526
صيدلية اللويس Pharmacy Alwaies,الصيدليات,زحلة,سعدنايل -حي العمرية -الشارع العام عقار رقم 1452-ملك محمد نايف الأسعد,08/512304
صيدلية المازPharmacie ALMAZ,الصيدليات,كسروان,حارة صخر عقار رقم 664-ملك مرلان امجد الخوري,NA
صيدلية المجد Pharmacie el Majd,الصيدليات,المتن,منطقة البوشرية العقارية -عقار 2987 قسم 3و4 بملكها,01/902677
صيدلية المحبة pharmacie AlMahaba,الصيدليات,المتن,المروج -طريق عام المروج زحلة عقار رقم 522 ملك الياس ناصيف بو داغر,04/295850
صيدلية المدارس,الصيدليات,عاليه,منطقة بشامون العقارية رقم العقار2797 القسم 8 البلوك B بملكه,NA
صيدلية المدينة CITY PHARMACY,الصيدليات,زحلة,المنطقة العقارية معلقة اراضي -عقار رقم 3287 -ملك نعمه وابراهيم,76/866629
صيدلية المر,الصيدليات,زحلة,زحلة حي معلقة أراضي شارع المدينة الصناعية عقار 2133 ملك طانيوس ناصيف نبهان واخوانه,08/932442
صيدلية المراكبي,الصيدليات,زغرتا,العيرونية الطريق العام الضنية ملك علي حسن الجميل عقار 66,NA
صيدلية المركز الطبي,الصيدليات,الكورة,منطقة راس مسقا العقارية -عقار رقم 176 كامل المقسم رقم 7 ملك اليس يوسف سعادة,NA
صيدلية المصباح,الصيدليات,الشوف,برجا -حي المعبور -الشارع العام -ملك رمضان شريف رمضان عقار رقم 3898 القسم 5,07/922409
صيدلية المصطفى Pharmacie ALMostapha,الصيدليات,بعبدا,منطقة تحويطة الغدير العقارية -شارع مدرسة المصطفى -عقار رقم 628 ملك محمد حسن زعيتر,NA
صيدلية المصطفى الكبرى,الصيدليات,بعلبك,التوفيقية -حي الشمالي -الشارع العام -عقار 226 -ملك يونس البزال,NA
صيدلية المعين,الصيدليات,البقاع الغربي,المنارة حي بركة عبادة الشارع العام ملك سعيد عبد الرحمن الورداني عقار 810,NA
صيدلية الملكية للعناية,الصيدليات,زحلة,معلقة اراضي -محلين من جهة الغرب-عقار 3035 ملك وصفي المجبل,08/955856
صيدلية المنار,الصيدليات,بعلبك,بعلبك -بوداي-حي الزعرورية -الشارع العام عقار 2639 ملك مصطفى حسن عساف,70/633046
صيدلية المنارة,الصيدليات,بيروت,راس بيروت-عرداتي المنارة ملك لبابيدي رقم العقار 1781,01/740754-01/740753
صيدلية المنصف MONSEF PHARMACY,الصيدليات,جبيل,منطقة المنصف العقارية عقار رقم 2316 -ملك انطوان عبدو الموّرق والياس غسان صدقه,76/443883
صيدلية المنى الطبية Pharmacy AL MONA ALTEBEYA,الصيدليات,بعلبك,حدث بعلبك -حي النبي رشاده -الطريق العام -عقار 642 من منطقة الحدث العقارية -الكراج الاول من الجهة الجنوبية -ملك عليا برو,NA
صيدلية المهدي,الصيدليات,بعبدا,الشياح - شارع المرامل- حي الاوزاعي -النافعة- ملك محمد فهدا عقار 3908,01/452627
صيدلية المهدي الجديدة,الصيدليات,بعلبك,دروس بعلبك حي الطريق العام شعبة القبة عقار 2432 ملك محمد يونس النمر,08/377585
صيدلية المهدي الموسوي,الصيدليات,بعلبك,النبي شيت حي الغربي الشارع الرئيسي عقار رقم 3630 ملك حسن علي الموسوي,08/335880
صيدلية الميثم,الصيدليات,بعلبك,بعلبك حي مدخل بعلبك الجنوبي قبة دورس الطريق العام عقار رقم 5956 ملك اسماعيل محمد اسماعيل,08/375176
صيدلية النجاح,الصيدليات,المنية الضنية,بخعون-الشارع العام الشرفة ملك احمد علي عبد العزيز عقار 1510,NA
صيدلية الندى الطبية,الصيدليات,زحلة,برالياس -الشارع العام -حي الكورنيش -عقار 1762-محل ببابين من الناحية الجنوبية ملك علاءالدين سلوم,NA
صيدلية النسيم الطبية Pharmacy AL NASSIM AL TOBIYA,الصيدليات,بعلبك,التوفيقية -الحي الشرقي-الشارع العام -عقار 15/مقراق -المحل الاول من الناحية الجنوبية-ملك علي البزال,NA
صيدلية النورPHARMACY AL NOUR,الصيدليات,الهرمل,شارع الدوره -عقار رقم 3313,03/693459
صيدلية الهادي الطبية,الصيدليات,بعلبك,بعلبك الحي النبي انعام الشارع الشيخ حبيب عقار 558 ملك علي جميل رستم عبد الساتر,08/370419
صيدلية الهبة,الصيدليات,المنية الضنية,طاران العقارية طريق عام حقليت طاران رقم العقار 124 ملك أحمد أحمد الحاج أحمد,06/491409
صيدلية الهدى,الصيدليات,الشوف,بعاصير حي الساحة شارع العام ملك فاطمة عبد الحليم القعقور عقار 362,07/920993
صيدلية الهدى,الصيدليات,بعلبك,النبي عثمان حي الدورة الطريق العام رقم العقار 893 ملك عبد الكريم زعرور,08/230193
صيدلية الهيكلية,الصيدليات,الكورة,راس مسقا حي هنيدر الشاميه عقار 2811 القسم 8 و 10 البلوك A بملكه,06/411465
صيدلية الوتوات PHARMACIE WETWAT,الصيدليات,بيروت,بيروت-عقار 1830-القسم 7-ملك محمد طباره وعدنان السيد حسين,NA
صيدلية الودود,الصيدليات,بعبدا,برج البراجنة حي الكفاءات اوتوستراد السيد هادي عقار 10/3177 ملك محمد حمود شكر,01/475939
صيدلية الوسام الجديدة,الصيدليات,الشوف,شحيم حي خلة درايا ملك يحي عبد الرؤف الحاج شحادة عقار رقم 869,07/242765
